Threshold,Global_Dbmark_TPR,Global_Dbmark_FPR,Global_NOX_TPR,Global_NOX_FPR,Global_Total_TPR,Global_Total_FPR
0.32,0.50101,0.072205,0.318276,0.070992,0.38016,0.071575
0.33,0.490236,0.069011,0.31069,0.068311,0.371494,0.068648
0.34,0.480135,0.066625,0.298966,0.065461,0.360319,0.06602
0.35,0.46936,0.064312,0.288966,0.063018,0.350057,0.06364
0.36,0.459259,0.061192,0.277586,0.060167,0.339111,0.060659
0.37,0.450505,0.05888,0.266552,0.057656,0.328848,0.058244
0.38,0.443098,0.056494,0.260345,0.055009,0.322235,0.055722
0.39,0.428956,0.053851,0.255172,0.052226,0.314025,0.053007
0.4,0.419529,0.051648,0.245862,0.049986,0.304675,0.050785
0.41,0.407407,0.049409,0.237931,0.047815,0.295325,0.04858
0.42,0.393939,0.04706,0.230345,0.045303,0.285747,0.046147
0.43,0.383838,0.044967,0.222759,0.04286,0.277309,0.043872
0.44,0.373737,0.043242,0.215172,0.040994,0.268871,0.042074
0.45,0.367677,0.041443,0.21,0.038788,0.263398,0.040063
0.46,0.359596,0.039865,0.201379,0.037227,0.25496,0.038494
0.47,0.346128,0.038507,0.193103,0.0357,0.244926,0.037048
0.48,0.340741,0.036635,0.186552,0.033867,0.238769,0.035197
0.49,0.334007,0.035387,0.17931,0.032035,0.231699,0.033645
0.5,0.326599,0.034065,0.171724,0.030474,0.224173,0.032199
0.51,0.320539,0.03289,0.168966,0.029388,0.220296,0.03107
0.52,0.311785,0.031275,0.162069,0.02803,0.212771,0.029589
0.53,0.306397,0.030101,0.157241,0.026605,0.207754,0.028284
0.54,0.29899,0.029036,0.153103,0.025451,0.202509,0.027173
0.55,0.292256,0.027604,0.148276,0.024365,0.197035,0.025921
0.56,0.282828,0.026577,0.144483,0.023313,0.191334,0.024881
0.57,0.277441,0.025512,0.138621,0.02199,0.185633,0.023682
0.58,0.26734,0.024778,0.133103,0.02104,0.178563,0.022835
0.59,0.258586,0.024117,0.128276,0.020225,0.172406,0.022095
0.6,0.250505,0.023163,0.124828,0.019309,0.167389,0.02116
0.61,0.241077,0.022062,0.12,0.018427,0.161003,0.020173
0.62,0.232323,0.021291,0.115517,0.017307,0.155074,0.019221
0.63,0.224916,0.02052,0.111379,0.016696,0.149829,0.018533
0.64,0.216835,0.020006,0.107586,0.015983,0.144584,0.017916
0.65,0.215488,0.01795,0.104828,0.015237,0.142303,0.01654
0.66,0.210774,0.016959,0.09931,0.014524,0.137058,0.015694
0.67,0.207407,0.015674,0.095517,0.013574,0.133409,0.014583
0.68,0.196633,0.014353,0.093448,0.013065,0.128392,0.013684
0.69,0.191919,0.013362,0.089655,0.012386,0.124287,0.012855
0.7,0.185185,0.012591,0.087241,0.011674,0.12041,0.012114
0.71,0.179798,0.011783,0.084483,0.011165,0.116762,0.011462
0.72,0.173737,0.011343,0.081034,0.010384,0.112429,0.010845
0.73,0.169024,0.010829,0.076897,0.009841,0.108096,0.010316
0.74,0.164983,0.010425,0.072759,0.009468,0.103991,0.009928
0.75,0.158923,0.009618,0.070345,0.009061,0.100342,0.009328
0.76,0.149495,0.009177,0.066552,0.008518,0.094641,0.008834
0.77,0.141414,0.008883,0.063793,0.008077,0.09008,0.008464
0.78,0.13468,0.00848,0.061379,0.007669,0.086203,0.008059
0.79,0.131313,0.008039,0.058621,0.007296,0.083238,0.007653
0.8,0.125926,0.007599,0.056207,0.006685,0.079818,0.007124
0.81,0.121886,0.007158,0.054483,0.006244,0.077309,0.006683
0.82,0.118519,0.006534,0.052759,0.005905,0.075029,0.006207
0.83,0.113131,0.006314,0.051379,0.005497,0.072292,0.00589
0.84,0.106397,0.00602,0.047931,0.005158,0.067731,0.005572
0.85,0.09899,0.005726,0.047241,0.004853,0.064766,0.005272
0.86,0.092929,0.005543,0.046207,0.004649,0.06203,0.005078
0.87,0.087542,0.005139,0.042759,0.004378,0.057925,0.004743
0.88,0.082155,0.004845,0.04,0.004038,0.054276,0.004426
0.89,0.080135,0.004662,0.037931,0.003869,0.052223,0.00425
0.9,0.074074,0.004368,0.036207,0.003733,0.049031,0.004038
0.91,0.07138,0.004038,0.034138,0.003597,0.04675,0.003809
0.92,0.066667,0.003708,0.032414,0.003394,0.044014,0.003544
0.93,0.061279,0.003377,0.030345,0.00302,0.040821,0.003192
0.94,0.056566,0.00323,0.02931,0.002952,0.03854,0.003086
0.95,0.055892,0.00301,0.028276,0.002749,0.037628,0.002874
0.96,0.051178,0.002753,0.026552,0.002647,0.034892,0.002698
0.97,0.046465,0.002496,0.025862,0.002477,0.032839,0.002486
0.98,0.044444,0.002386,0.024828,0.002342,0.031471,0.002363
0.99,0.040404,0.002276,0.022759,0.00224,0.028734,0.002257
1,0.03771,0.001909,0.02069,0.00207,0.026454,0.001993
1.01,0,0,0,0,0,0
