Protein  Threshold  TP  FP   N   Neg  TPR    FPR
1ACB.E   0.15       11  57  13  228  .846   .250
1ACB.I   0.15       10  6   11  52   .909   .115
1AHW.A   0.15       8   44  8   206  1.000  .213
1AK4.A   0.15       6   37  9   156  .666   .237
1AVX.A   0.15       14  19  19  201  .736   .094
1AY7.A   0.15       8   27  9   87   .888   .310
1AY7.B   0.15       6   6   9   80   .666   .075
1BGX.H   0.15       13  46  16  189  .812   .243
1DE4.E   0.15       18  15  21  78   .857   .192
1DFJ.E   0.15       0   16  18  106  0      .150
1DFJ.I   0.15       12  19  18  438  .666   .043
1DQJ.A   0.15       7   54  7   207  1.000  .260
1E4K.C   0.15       11  30  12  160  .916   .187
1E6J.H   0.15       4   38  5   214  .800   .177
1EXB.E   0.15       3   49  3   88   1.000  .556
1F34.A   0.15       16  67  22  303  .727   .221
1FC2.D   0.15       8   59  10  196  .800   .301
1FFW.A   0.15       4   27  8   120  .500   .225
1FFW.B   0.15       9   43  10  58   .900   .741
1FLE.E   0.15       8   84  11  218  .727   .385
1GHQ.A   0.15       1   79  5   302  .200   .261
1GXD.A   0.15       3   48  21  603  .142   .079
1GXD.C   0.15       14  28  18  174  .777   .160
1IRA.X   0.15       19  17  23  122  .826   .139
1JIW.I   0.15       13  70  15  90   .866   .777
1JIW.P   0.15       15  74  20  450  .750   .164
1JPS.H   0.15       9   49  10  203  .900   .241
1KAC.A   0.15       8   49  9   176  .888   .278
1KAC.B   0.15       7   8   12  112  .583   .071
1KLU.D   0.15       6   23  11  219  .545   .105
Protein     Threshold  TP        FP  N   Neg  TPR    FPR
1ACB.E      0.15       11        57  13  228  .846   .250
1ACB.I      0.15       10        6   11  52   .909   .115
1AHW.A      0.15       8         44  8   206  1.000  .213
1AK4.A      0.15       6         37  9   156  .666   .237
1AVX.A      0.15       14        19  19  201  .736   .094
1AY7.A      0.15       8         27  9   87   .888   .310
1AY7.B      0.15       6         6   9   80   .666   .075
1BGX.H      0.15       13        46  16  189  .812   .243
1DE4.E      0.15       18        15  21  78   .857   .192
1DFJ.E      0.15       0         16  18  106  0      .150
1DFJ.I      0.15       12        19  18  438  .666   .043
1DQJ.A      0.15       7         54  7   207  1.000  .260
1E4K.C      0.15       11        30  12  160  .916   .187
1E6J.H      0.15       4         38  5   214  .800   .177
1EXB.E      0.15       3         49  3   88   1.000  .556
1F34.A      0.15       16        67  22  303  .727   .221
1FC2.D      0.15       8         59  10  196  .800   .301
1FFW.A      0.15       4         27  8   120  .500   .225
1FFW.B      0.15       9         43  10  58   .900   .741
1FLE.E      0.15       8         84  11  218  .727   .385
1GHQ.A      0.15       1         79  5   302  .200   .261
1GXD.A      0.15       3         48  21  603  .142   .079
1GXD.C      0.15       14        28  18  174  .777   .160
1IRA.X      0.15       19        17  23  122  .826   .139
1JIW.I      0.15       13        70  15  90   .866   .777
1JIW.P      0.15       15        74  20  450  .750   .164
1JPS.H      0.15       9         49  10  203  .900   .241
1KAC.A      0.15       8         49  9   176  .888   .278
1KAC.B      0.15       7         8   12  112  .583   .071
1KLU.D      0.15       6         23  11  219  .545   .105
Global_TPR  =          .707
Global_FPR  =          .203
avg_TPR     =          0.706226
avg_FPR     =          0.233871
Protein  Threshold  TP  FP  N   Neg  TPR    FPR
1ACB.E   0.2        11  48  13  228  .846   .210
1ACB.I   0.2        9   4   11  52   .818   .076
1AHW.A   0.2        8   43  8   206  1.000  .208
1AK4.A   0.2        6   33  9   156  .666   .211
1AVX.A   0.2        14  12  19  201  .736   .059
1AY7.A   0.2        8   22  9   87   .888   .252
1AY7.B   0.2        5   6   9   80   .555   .075
1BGX.H   0.2        12  41  16  189  .750   .216
1DE4.E   0.2        15  13  21  78   .714   .166
1DFJ.E   0.2        0   12  18  106  0      .113
1DFJ.I   0.2        12  18  18  438  .666   .041
1DQJ.A   0.2        7   53  7   207  1.000  .256
1E4K.C   0.2        10  22  12  160  .833   .137
1E6J.H   0.2        4   37  5   214  .800   .172
1EXB.E   0.2        3   40  3   88   1.000  .454
1F34.A   0.2        16  57  22  303  .727   .188
1FC2.D   0.2        8   49  10  196  .800   .250
1FFW.A   0.2        3   21  8   120  .375   .175
1FFW.B   0.2        9   42  10  58   .900   .724
1FLE.E   0.2        8   78  11  218  .727   .357
1GHQ.A   0.2        1   69  5   302  .200   .228
1GXD.A   0.2        3   37  21  603  .142   .061
1GXD.C   0.2        14  25  18  174  .777   .143
1IRA.X   0.2        18  17  23  122  .782   .139
1JIW.I   0.2        12  58  15  90   .800   .644
1JIW.P   0.2        14  62  20  450  .700   .137
1JPS.H   0.2        9   48  10  203  .900   .236
1KAC.A   0.2        8   42  9   176  .888   .238
1KAC.B   0.2        5   6   12  112  .416   .053
1KLU.D   0.2        5   17  11  219  .454   .077
Protein     Threshold  TP        FP  N   Neg  TPR    FPR
1ACB.E      0.2        11        48  13  228  .846   .210
1ACB.I      0.2        9         4   11  52   .818   .076
1AHW.A      0.2        8         43  8   206  1.000  .208
1AK4.A      0.2        6         33  9   156  .666   .211
1AVX.A      0.2        14        12  19  201  .736   .059
1AY7.A      0.2        8         22  9   87   .888   .252
1AY7.B      0.2        5         6   9   80   .555   .075
1BGX.H      0.2        12        41  16  189  .750   .216
1DE4.E      0.2        15        13  21  78   .714   .166
1DFJ.E      0.2        0         12  18  106  0      .113
1DFJ.I      0.2        12        18  18  438  .666   .041
1DQJ.A      0.2        7         53  7   207  1.000  .256
1E4K.C      0.2        10        22  12  160  .833   .137
1E6J.H      0.2        4         37  5   214  .800   .172
1EXB.E      0.2        3         40  3   88   1.000  .454
1F34.A      0.2        16        57  22  303  .727   .188
1FC2.D      0.2        8         49  10  196  .800   .250
1FFW.A      0.2        3         21  8   120  .375   .175
1FFW.B      0.2        9         42  10  58   .900   .724
1FLE.E      0.2        8         78  11  218  .727   .357
1GHQ.A      0.2        1         69  5   302  .200   .228
1GXD.A      0.2        3         37  21  603  .142   .061
1GXD.C      0.2        14        25  18  174  .777   .143
1IRA.X      0.2        18        17  23  122  .782   .139
1JIW.I      0.2        12        58  15  90   .800   .644
1JIW.P      0.2        14        62  20  450  .700   .137
1JPS.H      0.2        9         48  10  203  .900   .236
1KAC.A      0.2        8         42  9   176  .888   .238
1KAC.B      0.2        5         6   12  112  .416   .053
1KLU.D      0.2        5         17  11  219  .454   .077
Global_TPR  =          .671
Global_FPR  =          .176
avg_TPR     =          0.672903
avg_FPR     =          0.203097
Protein  Threshold  TP  FP  N   Neg  TPR    FPR
1ACB.E   0.25       11  43  13  228  .846   .188
1ACB.I   0.25       8   1   11  52   .727   .019
1AHW.A   0.25       8   42  8   206  1.000  .203
1AK4.A   0.25       6   25  9   156  .666   .160
1AVX.A   0.25       13  9   19  201  .684   .044
1AY7.A   0.25       6   18  9   87   .666   .206
1AY7.B   0.25       3   5   9   80   .333   .062
1BGX.H   0.25       12  38  16  189  .750   .201
1DE4.E   0.25       12  9   21  78   .571   .115
1DFJ.E   0.25       0   6   18  106  0      .056
1DFJ.I   0.25       11  15  18  438  .611   .034
1DQJ.A   0.25       7   51  7   207  1.000  .246
1E4K.C   0.25       10  18  12  160  .833   .112
1E6J.H   0.25       4   34  5   214  .800   .158
1EXB.E   0.25       3   36  3   88   1.000  .409
1F34.A   0.25       16  47  22  303  .727   .155
1FC2.D   0.25       8   44  10  196  .800   .224
1FFW.A   0.25       3   21  8   120  .375   .175
1FFW.B   0.25       9   40  10  58   .900   .689
1FLE.E   0.25       8   70  11  218  .727   .321
1GHQ.A   0.25       1   61  5   302  .200   .201
1GXD.A   0.25       2   33  21  603  .095   .054
1GXD.C   0.25       9   24  18  174  .500   .137
1IRA.X   0.25       17  14  23  122  .739   .114
1JIW.I   0.25       12  55  15  90   .800   .611
1JIW.P   0.25       14  56  20  450  .700   .124
1JPS.H   0.25       9   45  10  203  .900   .221
1KAC.A   0.25       7   34  9   176  .777   .193
1KAC.B   0.25       5   5   12  112  .416   .044
1KLU.D   0.25       4   12  11  219  .363   .054
Protein     Threshold  TP        FP  N   Neg  TPR    FPR
1ACB.E      0.25       11        43  13  228  .846   .188
1ACB.I      0.25       8         1   11  52   .727   .019
1AHW.A      0.25       8         42  8   206  1.000  .203
1AK4.A      0.25       6         25  9   156  .666   .160
1AVX.A      0.25       13        9   19  201  .684   .044
1AY7.A      0.25       6         18  9   87   .666   .206
1AY7.B      0.25       3         5   9   80   .333   .062
1BGX.H      0.25       12        38  16  189  .750   .201
1DE4.E      0.25       12        9   21  78   .571   .115
1DFJ.E      0.25       0         6   18  106  0      .056
1DFJ.I      0.25       11        15  18  438  .611   .034
1DQJ.A      0.25       7         51  7   207  1.000  .246
1E4K.C      0.25       10        18  12  160  .833   .112
1E6J.H      0.25       4         34  5   214  .800   .158
1EXB.E      0.25       3         36  3   88   1.000  .409
1F34.A      0.25       16        47  22  303  .727   .155
1FC2.D      0.25       8         44  10  196  .800   .224
1FFW.A      0.25       3         21  8   120  .375   .175
1FFW.B      0.25       9         40  10  58   .900   .689
1FLE.E      0.25       8         70  11  218  .727   .321
1GHQ.A      0.25       1         61  5   302  .200   .201
1GXD.A      0.25       2         33  21  603  .095   .054
1GXD.C      0.25       9         24  18  174  .500   .137
1IRA.X      0.25       17        14  23  122  .739   .114
1JIW.I      0.25       12        55  15  90   .800   .611
1JIW.P      0.25       14        56  20  450  .700   .124
1JPS.H      0.25       9         45  10  203  .900   .221
1KAC.A      0.25       7         34  9   176  .777   .193
1KAC.B      0.25       5         5   12  112  .416   .044
1KLU.D      0.25       4         12  11  219  .363   .054
Global_TPR  =          .621
Global_FPR  =          .156
avg_TPR     =          0.629226
avg_FPR     =          0.178387
Protein  Threshold  TP  FP  N   Neg  TPR    FPR
1ACB.E   0.3        11  40  13  228  .846   .175
1ACB.I   0.3        7   0   11  52   .636   0
1AHW.A   0.3        8   41  8   206  1.000  .199
1AK4.A   0.3        6   22  9   156  .666   .141
1AVX.A   0.3        11  7   19  201  .578   .034
1AY7.A   0.3        6   13  9   87   .666   .149
1AY7.B   0.3        2   3   9   80   .222   .037
1BGX.H   0.3        12  34  16  189  .750   .179
1DE4.E   0.3        11  7   21  78   .523   .089
1DFJ.E   0.3        0   5   18  106  0      .047
1DFJ.I   0.3        11  15  18  438  .611   .034
1DQJ.A   0.3        7   48  7   207  1.000  .231
1E4K.C   0.3        10  13  12  160  .833   .081
1E6J.H   0.3        3   32  5   214  .600   .149
1EXB.E   0.3        3   32  3   88   1.000  .363
1F34.A   0.3        16  36  22  303  .727   .118
1FC2.D   0.3        5   38  10  196  .500   .193
1FFW.A   0.3        3   19  8   120  .375   .158
1FFW.B   0.3        9   35  10  58   .900   .603
1FLE.E   0.3        5   59  11  218  .454   .270
1GHQ.A   0.3        1   56  5   302  .200   .185
1GXD.A   0.3        2   30  21  603  .095   .049
1GXD.C   0.3        9   21  18  174  .500   .120
1IRA.X   0.3        16  13  23  122  .695   .106
1JIW.I   0.3        11  51  15  90   .733   .566
1JIW.P   0.3        14  48  20  450  .700   .106
1JPS.H   0.3        8   44  10  203  .800   .216
1KAC.A   0.3        7   29  9   176  .777   .164
1KAC.B   0.3        5   4   12  112  .416   .035
1KLU.D   0.3        3   10  11  219  .272   .045
Protein     Threshold  TP        FP  N   Neg  TPR    FPR
1ACB.E      0.3        11        40  13  228  .846   .175
1ACB.I      0.3        7         0   11  52   .636   0
1AHW.A      0.3        8         41  8   206  1.000  .199
1AK4.A      0.3        6         22  9   156  .666   .141
1AVX.A      0.3        11        7   19  201  .578   .034
1AY7.A      0.3        6         13  9   87   .666   .149
1AY7.B      0.3        2         3   9   80   .222   .037
1BGX.H      0.3        12        34  16  189  .750   .179
1DE4.E      0.3        11        7   21  78   .523   .089
1DFJ.E      0.3        0         5   18  106  0      .047
1DFJ.I      0.3        11        15  18  438  .611   .034
1DQJ.A      0.3        7         48  7   207  1.000  .231
1E4K.C      0.3        10        13  12  160  .833   .081
1E6J.H      0.3        3         32  5   214  .600   .149
1EXB.E      0.3        3         32  3   88   1.000  .363
1F34.A      0.3        16        36  22  303  .727   .118
1FC2.D      0.3        5         38  10  196  .500   .193
1FFW.A      0.3        3         19  8   120  .375   .158
1FFW.B      0.3        9         35  10  58   .900   .603
1FLE.E      0.3        5         59  11  218  .454   .270
1GHQ.A      0.3        1         56  5   302  .200   .185
1GXD.A      0.3        2         30  21  603  .095   .049
1GXD.C      0.3        9         21  18  174  .500   .120
1IRA.X      0.3        16        13  23  122  .695   .106
1JIW.I      0.3        11        51  15  90   .733   .566
1JIW.P      0.3        14        48  20  450  .700   .106
1JPS.H      0.3        8         44  10  203  .800   .216
1KAC.A      0.3        7         29  9   176  .777   .164
1KAC.B      0.3        5         4   12  112  .416   .035
1KLU.D      0.3        3         10  11  219  .272   .045
Global_TPR  =          .579
Global_FPR  =          .137
avg_TPR     =          0.583065
avg_FPR     =          0.156194
Protein  Threshold  TP  FP  N   Neg  TPR    FPR
1ACB.E   0.35       11  33  13  228  .846   .144
1ACB.I   0.35       7   0   11  52   .636   0
1AHW.A   0.35       7   39  8   206  .875   .189
1AK4.A   0.35       6   19  9   156  .666   .121
1AVX.A   0.35       11  5   19  201  .578   .024
1AY7.A   0.35       5   12  9   87   .555   .137
1AY7.B   0.35       2   2   9   80   .222   .025
1BGX.H   0.35       11  30  16  189  .687   .158
1DE4.E   0.35       9   6   21  78   .428   .076
1DFJ.E   0.35       0   5   18  106  0      .047
1DFJ.I   0.35       10  15  18  438  .555   .034
1DQJ.A   0.35       7   46  7   207  1.000  .222
1E4K.C   0.35       10  11  12  160  .833   .068
1E6J.H   0.35       3   31  5   214  .600   .144
1EXB.E   0.35       3   25  3   88   1.000  .284
1F34.A   0.35       14  32  22  303  .636   .105
1FC2.D   0.35       4   36  10  196  .400   .183
1FFW.A   0.35       3   17  8   120  .375   .141
1FFW.B   0.35       9   32  10  58   .900   .551
1FLE.E   0.35       4   48  11  218  .363   .220
1GHQ.A   0.35       1   51  5   302  .200   .168
1GXD.A   0.35       2   24  21  603  .095   .039
1GXD.C   0.35       9   17  18  174  .500   .097
1IRA.X   0.35       16  13  23  122  .695   .106
1JIW.I   0.35       11  49  15  90   .733   .544
1JIW.P   0.35       13  36  20  450  .650   .080
1JPS.H   0.35       8   42  10  203  .800   .206
1KAC.A   0.35       6   21  9   176  .666   .119
1KAC.B   0.35       3   4   12  112  .250   .035
1KLU.D   0.35       3   9   11  219  .272   .041
Protein     Threshold  TP        FP  N   Neg  TPR    FPR
1ACB.E      0.35       11        33  13  228  .846   .144
1ACB.I      0.35       7         0   11  52   .636   0
1AHW.A      0.35       7         39  8   206  .875   .189
1AK4.A      0.35       6         19  9   156  .666   .121
1AVX.A      0.35       11        5   19  201  .578   .024
1AY7.A      0.35       5         12  9   87   .555   .137
1AY7.B      0.35       2         2   9   80   .222   .025
1BGX.H      0.35       11        30  16  189  .687   .158
1DE4.E      0.35       9         6   21  78   .428   .076
1DFJ.E      0.35       0         5   18  106  0      .047
1DFJ.I      0.35       10        15  18  438  .555   .034
1DQJ.A      0.35       7         46  7   207  1.000  .222
1E4K.C      0.35       10        11  12  160  .833   .068
1E6J.H      0.35       3         31  5   214  .600   .144
1EXB.E      0.35       3         25  3   88   1.000  .284
1F34.A      0.35       14        32  22  303  .636   .105
1FC2.D      0.35       4         36  10  196  .400   .183
1FFW.A      0.35       3         17  8   120  .375   .141
1FFW.B      0.35       9         32  10  58   .900   .551
1FLE.E      0.35       4         48  11  218  .363   .220
1GHQ.A      0.35       1         51  5   302  .200   .168
1GXD.A      0.35       2         24  21  603  .095   .039
1GXD.C      0.35       9         17  18  174  .500   .097
1IRA.X      0.35       16        13  23  122  .695   .106
1JIW.I      0.35       11        49  15  90   .733   .544
1JIW.P      0.35       13        36  20  450  .650   .080
1JPS.H      0.35       8         42  10  203  .800   .206
1KAC.A      0.35       6         21  9   176  .666   .119
1KAC.B      0.35       3         4   12  112  .250   .035
1KLU.D      0.35       3         9   11  219  .272   .041
Global_TPR  =          .543
Global_FPR  =          .121
avg_TPR     =          0.548903
avg_FPR     =          0.138968
Protein  Threshold  TP  FP  N   Neg  TPR    FPR
1ACB.E   0.4        10  28  13  228  .769   .122
1ACB.I   0.4        7   0   11  52   .636   0
1AHW.A   0.4        7   36  8   206  .875   .174
1AK4.A   0.4        5   15  9   156  .555   .096
1AVX.A   0.4        10  4   19  201  .526   .019
1AY7.A   0.4        5   12  9   87   .555   .137
1AY7.B   0.4        2   2   9   80   .222   .025
1BGX.H   0.4        11  25  16  189  .687   .132
1DE4.E   0.4        8   5   21  78   .380   .064
1DFJ.E   0.4        0   3   18  106  0      .028
1DFJ.I   0.4        9   13  18  438  .500   .029
1DQJ.A   0.4        7   44  7   207  1.000  .212
1E4K.C   0.4        9   9   12  160  .750   .056
1E6J.H   0.4        3   29  5   214  .600   .135
1EXB.E   0.4        3   19  3   88   1.000  .215
1F34.A   0.4        12  28  22  303  .545   .092
1FC2.D   0.4        3   33  10  196  .300   .168
1FFW.A   0.4        2   15  8   120  .250   .125
1FFW.B   0.4        8   25  10  58   .800   .431
1FLE.E   0.4        4   38  11  218  .363   .174
1GHQ.A   0.4        1   44  5   302  .200   .145
1GXD.A   0.4        1   21  21  603  .047   .034
1GXD.C   0.4        7   15  18  174  .388   .086
1IRA.X   0.4        15  12  23  122  .652   .098
1JIW.I   0.4        10  46  15  90   .666   .511
1JIW.P   0.4        13  31  20  450  .650   .068
1JPS.H   0.4        8   37  10  203  .800   .182
1KAC.A   0.4        6   16  9   176  .666   .090
1KAC.B   0.4        3   4   12  112  .250   .035
1KLU.D   0.4        3   7   11  219  .272   .031
Protein     Threshold  TP        FP  N   Neg  TPR    FPR
1ACB.E      0.4        10        28  13  228  .769   .122
1ACB.I      0.4        7         0   11  52   .636   0
1AHW.A      0.4        7         36  8   206  .875   .174
1AK4.A      0.4        5         15  9   156  .555   .096
1AVX.A      0.4        10        4   19  201  .526   .019
1AY7.A      0.4        5         12  9   87   .555   .137
1AY7.B      0.4        2         2   9   80   .222   .025
1BGX.H      0.4        11        25  16  189  .687   .132
1DE4.E      0.4        8         5   21  78   .380   .064
1DFJ.E      0.4        0         3   18  106  0      .028
1DFJ.I      0.4        9         13  18  438  .500   .029
1DQJ.A      0.4        7         44  7   207  1.000  .212
1E4K.C      0.4        9         9   12  160  .750   .056
1E6J.H      0.4        3         29  5   214  .600   .135
1EXB.E      0.4        3         19  3   88   1.000  .215
1F34.A      0.4        12        28  22  303  .545   .092
1FC2.D      0.4        3         33  10  196  .300   .168
1FFW.A      0.4        2         15  8   120  .250   .125
1FFW.B      0.4        8         25  10  58   .800   .431
1FLE.E      0.4        4         38  11  218  .363   .174
1GHQ.A      0.4        1         44  5   302  .200   .145
1GXD.A      0.4        1         21  21  603  .047   .034
1GXD.C      0.4        7         15  18  174  .388   .086
1IRA.X      0.4        15        12  23  122  .652   .098
1JIW.I      0.4        10        46  15  90   .666   .511
1JIW.P      0.4        13        31  20  450  .650   .068
1JPS.H      0.4        8         37  10  203  .800   .182
1KAC.A      0.4        6         16  9   176  .666   .090
1KAC.B      0.4        3         4   12  112  .250   .035
1KLU.D      0.4        3         7   11  219  .272   .031
Global_TPR  =          .501
Global_FPR  =          .105
avg_TPR     =          0.513032
avg_FPR     =          0.119806
Protein  Threshold  TP  FP  N   Neg  TPR    FPR
1ACB.E   0.45       9   23  13  228  .692   .100
1ACB.I   0.45       6   0   11  52   .545   0
1AHW.A   0.45       7   30  8   206  .875   .145
1AK4.A   0.45       4   13  9   156  .444   .083
1AVX.A   0.45       10  2   19  201  .526   .009
1AY7.A   0.45       5   11  9   87   .555   .126
1AY7.B   0.45       1   2   9   80   .111   .025
