protein,TP,N,TPR,FP,neg,FPR
1PP2.L,17,17,1.0,105,105,1.0
1BYF.A,16,16,1.0,107,107,1.0
1B8J.A,60,60,1.0,388,388,1.0
1BUH.A,12,12,1.0,275,275,1.0
1COZ.A,10,10,1.0,116,116,1.0
1HJR.A,15,15,1.0,143,143,1.0
1PNK.A,80,80,1.0,113,113,1.0
1QAX.A,78,78,1.0,347,347,1.0
1QOR.A,21,21,1.0,305,305,1.0
1FSS.A,15,15,1.0,517,517,1.0
1AVZ.B,11,11,1.0,92,92,1.0
1LUC.A,30,30,1.0,296,296,1.0
1AVA.A,17,17,1.0,386,386,1.0
1H2A.L,55,55,1.0,479,479,1.0
1CQI.A,18,18,1.0,268,268,1.0
2HDH.A,16,16,1.0,270,270,1.0
1YPI.A,23,23,1.0,224,224,1.0
2UTG.A,14,14,1.0,56,56,1.0
3TMK.A,11,11,1.0,205,205,1.0
1HSS.A,15,15,1.0,96,96,1.0
1ZBD.A,19,19,1.0,152,152,1.0
1BO1.A,18,18,1.0,308,308,1.0
1XSO.A,7,7,1.0,142,142,1.0
1B8A.A,56,56,1.0,382,382,1.0
1B7B.A,28,28,1.0,279,279,1.0
1KPE.A,33,33,1.0,80,80,1.0
1QAV.A,13,13,1.0,77,77,1.0
1EAI.C,10,10,1.0,51,51,1.0
1F60.A,28,28,1.0,412,412,1.0
2PCB.A,6,6,1.0,288,288,1.0
1ATN.A,16,16,1.0,355,355,1.0
