DBmark_proteins,TP,Interface_residues,F_Score
4G6J.H,13,16,0.8125
1T6B.X,1,12,0.083333
1JPS.H,9,16,0.5625
2J0T.A,5,18,0.277778
4FQI.H,2,11,0.181818
1AHW.A,17,20,0.85
2HQS.A,3,17,0.176471
1FFW.A,0,8,0
3HI6.X,10,15,0.666667
7CEI.B,1,10,0.1
1GXD.A,3,21,0.142857
3V6Z.A,17,21,0.809524
1ACB.E,8,13,0.615385
1AY7.A,1,9,0.111111
1BGX.H,17,31,0.548387
1KXP.D,13,26,0.5
3VLB.A,0,15,0
1KTZ.A,0,7,0
3BIW.A,0,9,0
1EXB.E,1,3,0.333333
2O3B.A,3,15,0.2
2SIC.I,8,11,0.727273
3VLB.B,7,17,0.411765
1DFJ.E,1,18,0.055556
1IRA.X,9,23,0.391304
1AY7.B,2,9,0.222222
2HRK.B,3,8,0.375
2J0T.D,4,11,0.363636
7CEI.A,10,13,0.769231
1FFW.B,7,10,0.7
1PVH.B,1,8,0.125
3RVW.C,8,13,0.615385
1WEJ.H,10,11,0.909091
1S1Q.A,3,12,0.25
NOX_proteins,TP,Interface_residues,F_Score
1DOR.A,14,25,0.56
1YVE.I,0,25,0
1DOW.A,0,14,0
1NSE.A,25,39,0.641026
1EMV.A,8,13,0.615385
1CP2.A,6,13,0.461538
1RRP.A,14,32,0.4375
1XIK.A,21,37,0.567568
1KAC.A,0,9,0
1BKD.R,14,25,0.56
1TCO.A,8,21,0.380952
1JKM.A,3,16,0.1875
1I8L.A,3,8,0.375
1QBI.A,9,17,0.529412
1A4I.A,9,26,0.346154
1QFH.A,22,37,0.594595
1D09.A,1,15,0.066667
1B6C.A,5,15,0.333333
1CMX.A,9,22,0.409091
1ETH.A,0,14,0
3C98.A,14,27,0.518519
1BVN.T,9,15,0.6
1REQ.A,13,64,0.203125
1STF.E,2,13,0.153846
4SGB.I,2,6,0.333333
1AOM.A,3,23,0.130435
1ONE.A,24,34,0.705882
2NAC.A,37,56,0.660714
1BJN.A,21,33,0.636364
1CNZ.A,31,43,0.72093
1SMP.I,7,12,0.583333
1B3A.A,5,12,0.416667
1B34.A,16,17,0.941176
1AT3.A,9,15,0.6
1ISA.A,5,9,0.555556
1MSP.A,4,12,0.333333
1TMQ.A,6,18,0.333333
1CMB.A,8,15,0.533333
1I2M.A,11,24,0.458333
1TRK.A,4,67,0.059701
3HHR.A,8,21,0.380952
1SPU.A,32,112,0.285714
1LFD.A,2,11,0.181818
1VOK.A,8,19,0.421053
1AVW.A,12,19,0.631579
1BRM.A,34,54,0.62963
1A4Y.A,14,23,0.608696
1UEA.A,9,22,0.409091
1CSE.I,3,10,0.3
1ITB.A,6,25,0.24
1SMT.A,9,22,0.409091
1EG9.A,2,31,0.064516
1CVS.A,7,17,0.411765
1FRV.A,30,59,0.508475
1BI7.A,0,25,0
1F34.A,5,23,0.217391
1TX4.A,0,17,0
1B5E.A,22,36,0.611111
1F6Y.A,10,19,0.526316
4MDH.A,14,26,0.538462
1HGX.A,4,18,0.222222
2AE2.A,3,18,0.166667
1A0F.A,11,23,0.478261
1C0F.S,11,22,0.5
1HLU.A,7,11,0.636364
1DHK.A,1,26,0.038462
1WGJ.A,6,11,0.545455
4XXH.A,10,19,0.526316
2AAI.A,4,25,0.16
2PFL.A,0,23,0
1QAE.A,4,13,0.307692
1WQ1.R,9,14,0.642857
1AHJ.A,26,44,0.590909
1BML.A,11,26,0.423077
1GUX.A,8,13,0.615385
1EUV.A,11,27,0.407407
1GPE.A,8,28,0.285714
1AK4.A,2,9,0.222222
1CC0.A,3,9,0.333333
1AQ6.A,21,32,0.65625
1PDK.A,12,28,0.428571
1DCE.A,5,40,0.125
2PTC.I,2,8,0.25
1TGS.I,8,13,0.615385
1QFE.A,3,7,0.428571
1JTD.A,6,12,0.5
1B9M.A,19,41,0.463415
2HHM.A,13,21,0.619048
1VLT.A,4,14,0.285714
1CLI.A,10,42,0.238095
1YCS.A,0,11,0
1SOX.A,13,24,0.541667
1GLA.F,6,7,0.857143
1EFV.A,37,59,0.627119
1FIN.A,9,29,0.310345
1PP2.L,8,17,0.470588
1BYF.A,2,16,0.125
1B8J.A,36,60,0.6
1BUH.A,3,12,0.25
1COZ.A,3,10,0.3
1HJR.A,1,15,0.066667
1QBK.B,5,30,0.166667
1PNK.A,54,80,0.675
1QAX.A,47,78,0.602564
1QOR.A,13,21,0.619048
1FSS.A,0,15,0
1AVZ.B,1,11,0.090909
1AJS.A,33,49,0.673469
1LUC.A,20,30,0.666667
1TAB.I,0,7,0
1AVA.A,11,17,0.647059
1AFW.A,9,42,0.214286
1H2A.L,31,55,0.563636
1CQI.A,6,18,0.333333
2HDH.A,8,17,0.470588
1YPI.A,11,23,0.478261
2UTG.A,10,14,0.714286
3TMK.A,2,11,0.181818
1HSS.A,8,15,0.533333
2SIC.I,8,11,0.727273
1AGR.E,3,13,0.230769
1ZBD.A,11,20,0.55
1BO1.A,2,18,0.111111
1XSO.A,4,7,0.571429
1B8A.A,37,56,0.660714
1B7B.A,12,28,0.428571
1KPE.A,26,33,0.787879
1QAV.A,0,13,0
1EAI.C,4,10,0.4
1AJ8.A,53,74,0.716216
1F60.A,8,28,0.285714
2PCB.A,3,6,0.5
1ATN.A,2,16,0.125
