Protein  Threshold  TP  FP   N   Neg  TPR    FPR
1DFJ.E      0.1        0         19  18  85   0      .223
1DFJ.I      0.1        11        6   18  307  .611   .019
1DQJ.A      0.1        4         16  8   173  .500   .092
1E4K.C      0.1        11        30  12  129  .916   .232
1E6J.H      0.1        3         26  5   177  .600   .146
1EXB.E      0.1        3         9   3   73   1.000  .123
1F34.A      0.1        4         48  23  212  .173   .226
1FC2.D      0.1        9         37  10  164  .900   .225
1FFW.A      0.1        5         26  8   90   .625   .288
1FFW.B      0.1        6         17  10  49   .600   .346
1FLE.E      0.1        4         26  11  156  .363   .166
1GHQ.A      0.1        0         40  5   192  0      .208
1GXD.A      0.1        0         26  21  483  0      .053
1GXD.C      0.1        11        18  18  149  .611   .120
1IRA.X      0.1        13        11  23  90   .565   .122
1JIW.I      0.1        7         38  15  69   .466   .550
1JIW.P      0.1        7         45  20  312  .350   .144
1JPS.H      0.1        2         13  8   168  .250   .077
1KAC.A      0.1        3         31  9   134  .333   .231
1KAC.B      0.1        8         21  12  89   .666   .235
1KLU.D      0.1        8         27  11  154  .727   .175
Global_TPR  =          .535
Global_FPR  =          .153
avg_TPR     =          0.548613
avg_FPR     =          0.178581
Protein  Threshold  TP  FP  N   Neg  TPR    FPR
1ACB.E   0.15       5   9   13  159  .384   .056
1ACB.I   0.15       9   5   11  44   .818   .113
1AHW.A   0.15       8   9   9   163  .888   .055
1AK4.A   0.15       4   24  9   110  .444   .218
1AVX.A   0.15       14  15  19  139  .736   .107
1AY7.A   0.15       6   24  9   76   .666   .315
1AY7.B   0.15       7   8   9   58   .777   .137
1BGX.H   0.15       7   8   17  162  .411   .049
1DE4.E   0.15       17  10  21  66   .809   .151
1DFJ.E   0.15       0   12  18  85   0      .141
1DFJ.I   0.15       8   5   18  307  .444   .016
1DQJ.A   0.15       4   12  8   173  .500   .069
1E4K.C   0.15       10  23  12  129  .833   .178
1E6J.H   0.15       2   24  5   177  .400   .135
1EXB.E   0.15       3   8   3   73   1.000  .109
1F34.A   0.15       4   44  23  212  .173   .207
1FC2.D   0.15       9   36  10  164  .900   .219
1FFW.A   0.15       1   12  8   90   .125   .133
1FFW.B   0.15       6   12  10  49   .600   .244
1FLE.E   0.15       4   20  11  156  .363   .128
1GHQ.A   0.15       0   22  5   192  0      .114
1GXD.A   0.15       0   25  21  483  0      .051
1GXD.C   0.15       10  15  18  149  .555   .100
1IRA.X   0.15       11  9   23  90   .478   .100
1JIW.I   0.15       7   38  15  69   .466   .550
1JIW.P   0.15       7   37  20  312  .350   .118
1JPS.H   0.15       2   12  8   168  .250   .071
1KAC.A   0.15       3   27  9   134  .333   .201
1KAC.B   0.15       8   12  12  89   .666   .134
1KLU.D   0.15       7   23  11  154  .636   .149
Protein     Threshold  TP        FP  N   Neg  TPR    FPR
1ACB.E      0.15       5         9   13  159  .384   .056
1ACB.I      0.15       9         5   11  44   .818   .113
1AHW.A      0.15       8         9   9   163  .888   .055
1AK4.A      0.15       4         24  9   110  .444   .218
1AVX.A      0.15       14        15  19  139  .736   .107
1AY7.A      0.15       6         24  9   76   .666   .315
1AY7.B      0.15       7         8   9   58   .777   .137
1BGX.H      0.15       7         8   17  162  .411   .049
1DE4.E      0.15       17        10  21  66   .809   .151
1DFJ.E      0.15       0         12  18  85   0      .141
1DFJ.I      0.15       8         5   18  307  .444   .016
1DQJ.A      0.15       4         12  8   173  .500   .069
1E4K.C      0.15       10        23  12  129  .833   .178
1E6J.H      0.15       2         24  5   177  .400   .135
1EXB.E      0.15       3         8   3   73   1.000  .109
1F34.A      0.15       4         44  23  212  .173   .207
1FC2.D      0.15       9         36  10  164  .900   .219
1FFW.A      0.15       1         12  8   90   .125   .133
1FFW.B      0.15       6         12  10  49   .600   .244
1FLE.E      0.15       4         20  11  156  .363   .128
1GHQ.A      0.15       0         22  5   192  0      .114
1GXD.A      0.15       0         25  21  483  0      .051
1GXD.C      0.15       10        15  18  149  .555   .100
1IRA.X      0.15       11        9   23  90   .478   .100
1JIW.I      0.15       7         38  15  69   .466   .550
1JIW.P      0.15       7         37  20  312  .350   .118
1JPS.H      0.15       2         12  8   168  .250   .071
1KAC.A      0.15       3         27  9   134  .333   .201
1KAC.B      0.15       8         12  12  89   .666   .134
1KLU.D      0.15       7         23  11  154  .636   .149
Global_TPR  =          .475
Global_FPR  =          .121
avg_TPR     =          0.484032
avg_FPR     =          0.140903
Protein  Threshold  TP  FP  N   Neg  TPR    FPR
1ACB.E   0.2        3   3   13  159  .230   .018
1ACB.I   0.2        6   4   11  44   .545   .090
1AHW.A   0.2        7   7   9   163  .777   .042
1AK4.A   0.2        3   22  9   110  .333   .200
1AVX.A   0.2        14  6   19  139  .736   .043
1AY7.A   0.2        5   15  9   76   .555   .197
1AY7.B   0.2        7   5   9   58   .777   .086
1BGX.H   0.2        7   6   17  162  .411   .037
1DE4.E   0.2        16  9   21  66   .761   .136
1DFJ.E   0.2        0   9   18  85   0      .105
1DFJ.I   0.2        5   3   18  307  .277   .009
1DQJ.A   0.2        3   7   8   173  .375   .040
1E4K.C   0.2        10  16  12  129  .833   .124
1E6J.H   0.2        1   22  5   177  .200   .124
1EXB.E   0.2        3   8   3   73   1.000  .109
1F34.A   0.2        3   36  23  212  .130   .169
1FC2.D   0.2        8   28  10  164  .800   .170
1FFW.A   0.2        0   9   8   90   0      .100
1FFW.B   0.2        4   9   10  49   .400   .183
1FLE.E   0.2        4   16  11  156  .363   .102
1GHQ.A   0.2        0   13  5   192  0      .067
1GXD.A   0.2        0   20  21  483  0      .041
1GXD.C   0.2        8   12  18  149  .444   .080
1IRA.X   0.2        8   3   23  90   .347   .033
1JIW.I   0.2        7   38  15  69   .466   .550
1JIW.P   0.2        7   34  20  312  .350   .108
1JPS.H   0.2        1   11  8   168  .125   .065
1KAC.A   0.2        3   27  9   134  .333   .201
1KAC.B   0.2        7   8   12  89   .583   .089
1KLU.D   0.2        4   16  11  154  .363   .103
Protein     Threshold  TP        FP  N   Neg  TPR    FPR
1ACB.E      0.2        3         3   13  159  .230   .018
1ACB.I      0.2        6         4   11  44   .545   .090
1AHW.A      0.2        7         7   9   163  .777   .042
1AK4.A      0.2        3         22  9   110  .333   .200
1AVX.A      0.2        14        6   19  139  .736   .043
1AY7.A      0.2        5         15  9   76   .555   .197
1AY7.B      0.2        7         5   9   58   .777   .086
1BGX.H      0.2        7         6   17  162  .411   .037
1DE4.E      0.2        16        9   21  66   .761   .136
1DFJ.E      0.2        0         9   18  85   0      .105
1DFJ.I      0.2        5         3   18  307  .277   .009
1DQJ.A      0.2        3         7   8   173  .375   .040
1E4K.C      0.2        10        16  12  129  .833   .124
1E6J.H      0.2        1         22  5   177  .200   .124
1EXB.E      0.2        3         8   3   73   1.000  .109
1F34.A      0.2        3         36  23  212  .130   .169
1FC2.D      0.2        8         28  10  164  .800   .170
1FFW.A      0.2        0         9   8   90   0      .100
1FFW.B      0.2        4         9   10  49   .400   .183
1FLE.E      0.2        4         16  11  156  .363   .102
1GHQ.A      0.2        0         13  5   192  0      .067
1GXD.A      0.2        0         20  21  483  0      .041
1GXD.C      0.2        8         12  18  149  .444   .080
1IRA.X      0.2        8         3   23  90   .347   .033
1JIW.I      0.2        7         38  15  69   .466   .550
1JIW.P      0.2        7         34  20  312  .350   .108
1JPS.H      0.2        1         11  8   168  .125   .065
1KAC.A      0.2        3         27  9   134  .333   .201
1KAC.B      0.2        7         8   12  89   .583   .089
1KLU.D      0.2        4         16  11  154  .363   .103
Global_TPR  =          .400
Global_FPR  =          .095
avg_TPR     =          0.403677
avg_FPR     =          0.110355
Protein  Threshold  TP  FP  N   Neg  TPR    FPR
1ACB.E   0.25       3   1   13  159  .230   .006
1ACB.I   0.25       4   3   11  44   .363   .068
1AHW.A   0.25       5   3   9   163  .555   .018
1AK4.A   0.25       3   18  9   110  .333   .163
1AVX.A   0.25       14  6   19  139  .736   .043
1AY7.A   0.25       5   12  9   76   .555   .157
1AY7.B   0.25       7   5   9   58   .777   .086
1BGX.H   0.25       6   3   17  162  .352   .018
1DE4.E   0.25       14  5   21  66   .666   .075
1DFJ.E   0.25       0   6   18  85   0      .070
1DFJ.I   0.25       2   3   18  307  .111   .009
1DQJ.A   0.25       2   7   8   173  .250   .040
1E4K.C   0.25       10  16  12  129  .833   .124
1E6J.H   0.25       1   22  5   177  .200   .124
1EXB.E   0.25       3   3   3   73   1.000  .041
1F34.A   0.25       3   32  23  212  .130   .150
1FC2.D   0.25       8   28  10  164  .800   .170
1FFW.A   0.25       0   8   8   90   0      .088
1FFW.B   0.25       3   5   10  49   .300   .102
1FLE.E   0.25       4   15  11  156  .363   .096
1GHQ.A   0.25       0   13  5   192  0      .067
1GXD.A   0.25       0   20  21  483  0      .041
1GXD.C   0.25       8   12  18  149  .444   .080
1IRA.X   0.25       6   3   23  90   .260   .033
1JIW.I   0.25       7   30  15  69   .466   .434
1JIW.P   0.25       7   34  20  312  .350   .108
1JPS.H   0.25       1   9   8   168  .125   .053
1KAC.A   0.25       2   23  9   134  .222   .171
1KAC.B   0.25       6   3   12  89   .500   .033
1KLU.D   0.25       3   13  11  154  .272   .084
Protein     Threshold  TP         FP  N   Neg  TPR    FPR
1ACB.E      0.25       3          1   13  159  .230   .006
1ACB.I      0.25       4          3   11  44   .363   .068
1AHW.A      0.25       5          3   9   163  .555   .018
1AK4.A      0.25       3          18  9   110  .333   .163
1AVX.A      0.25       14         6   19  139  .736   .043
1AY7.A      0.25       5          12  9   76   .555   .157
1AY7.B      0.25       7          5   9   58   .777   .086
1BGX.H      0.25       6          3   17  162  .352   .018
1DE4.E      0.25       14         5   21  66   .666   .075
1DFJ.E      0.25       0          6   18  85   0      .070
1DFJ.I      0.25       2          3   18  307  .111   .009
1DQJ.A      0.25       2          7   8   173  .250   .040
1E4K.C      0.25       10         16  12  129  .833   .124
1E6J.H      0.25       1          22  5   177  .200   .124
1EXB.E      0.25       3          3   3   73   1.000  .041
1F34.A      0.25       3          32  23  212  .130   .150
1FC2.D      0.25       8          28  10  164  .800   .170
1FFW.A      0.25       0          8   8   90   0      .088
1FFW.B      0.25       3          5   10  49   .300   .102
1FLE.E      0.25       4          15  11  156  .363   .096
1GHQ.A      0.25       0          13  5   192  0      .067
1GXD.A      0.25       0          20  21  483  0      .041
1GXD.C      0.25       8          12  18  149  .444   .080
1IRA.X      0.25       6          3   23  90   .260   .033
1JIW.I      0.25       7          30  15  69   .466   .434
1JIW.P      0.25       7          34  20  312  .350   .108
1JPS.H      0.25       1          9   8   168  .125   .053
1KAC.A      0.25       2          23  9   134  .222   .171
1KAC.B      0.25       6          3   12  89   .500   .033
1KLU.D      0.25       3          13  11  154  .272   .084
Global_TPR  =          .355
Global_FPR  =          .081
avg_TPR     =          0.361065
avg_FPR     =          0.0887742
Protein  Threshold  TP  FP  N   Neg  TPR    FPR
1ACB.E   0.3        3   0   13  159  .230   0
1ACB.I   0.3        3   2   11  44   .272   .045
1AHW.A   0.3        5   3   9   163  .555   .018
1AK4.A   0.3        3   14  9   110  .333   .127
1AVX.A   0.3        13  5   19  139  .684   .035
1AY7.A   0.3        3   10  9   76   .333   .131
1AY7.B   0.3        6   5   9   58   .666   .086
1BGX.H   0.3        6   3   17  162  .352   .018
1DE4.E   0.3        11  4   21  66   .523   .060
1DFJ.E   0.3        0   5   18  85   0      .058
1DFJ.I   0.3        2   2   18  307  .111   .006
1DQJ.A   0.3        2   6   8   173  .250   .034
1E4K.C   0.3        10  12  12  129  .833   .093
1E6J.H   0.3        1   16  5   177  .200   .090
1EXB.E   0.3        3   3   3   73   1.000  .041
1F34.A   0.3        2   24  23  212  .086   .113
1FC2.D   0.3        8   28  10  164  .800   .170
1FFW.A   0.3        0   7   8   90   0      .077
1FFW.B   0.3        3   4   10  49   .300   .081
1FLE.E   0.3        2   9   11  156  .181   .057
1GHQ.A   0.3        0   8   5   192  0      .041
1GXD.A   0.3        0   18  21  483  0      .037
1GXD.C   0.3        8   10  18  149  .444   .067
1IRA.X   0.3        3   2   23  90   .130   .022
1JIW.I   0.3        7   30  15  69   .466   .434
1JIW.P   0.3        7   26  20  312  .350   .083
1JPS.H   0.3        1   9   8   168  .125   .053
1KAC.A   0.3        2   23  9   134  .222   .171
1KAC.B   0.3        6   3   12  89   .500   .033
1KLU.D   0.3        1   8   11  154  .090   .051
Protein     Threshold  TP         FP  N   Neg  TPR    FPR
1ACB.E      0.3        3          0   13  159  .230   0
1ACB.I      0.3        3          2   11  44   .272   .045
1AHW.A      0.3        5          3   9   163  .555   .018
1AK4.A      0.3        3          14  9   110  .333   .127
1AVX.A      0.3        13         5   19  139  .684   .035
1AY7.A      0.3        3          10  9   76   .333   .131
1AY7.B      0.3        6          5   9   58   .666   .086
1BGX.H      0.3        6          3   17  162  .352   .018
1DE4.E      0.3        11         4   21  66   .523   .060
1DFJ.E      0.3        0          5   18  85   0      .058
1DFJ.I      0.3        2          2   18  307  .111   .006
1DQJ.A      0.3        2          6   8   173  .250   .034
1E4K.C      0.3        10         12  12  129  .833   .093
1E6J.H      0.3        1          16  5   177  .200   .090
1EXB.E      0.3        3          3   3   73   1.000  .041
1F34.A      0.3        2          24  23  212  .086   .113
1FC2.D      0.3        8          28  10  164  .800   .170
1FFW.A      0.3        0          7   8   90   0      .077
1FFW.B      0.3        3          4   10  49   .300   .081
1FLE.E      0.3        2          9   11  156  .181   .057
1GHQ.A      0.3        0          8   5   192  0      .041
1GXD.A      0.3        0          18  21  483  0      .037
1GXD.C      0.3        8          10  18  149  .444   .067
1IRA.X      0.3        3          2   23  90   .130   .022
1JIW.I      0.3        7          30  15  69   .466   .434
1JIW.P      0.3        7          26  20  312  .350   .083
1JPS.H      0.3        1          9   8   168  .125   .053
1KAC.A      0.3        2          23  9   134  .222   .171
1KAC.B      0.3        6          3   12  89   .500   .033
1KLU.D      0.3        1          8   11  154  .090   .051
Global_TPR  =          .314
Global_FPR  =          .067
avg_TPR     =          0.323742
avg_FPR     =          0.0752258
Protein  Threshold  TP  FP  N   Neg  TPR    FPR
1ACB.E   0.35       3   0   13  159  .230   0
1ACB.I   0.35       3   0   11  44   .272   0
1AHW.A   0.35       5   3   9   163  .555   .018
1AK4.A   0.35       3   14  9   110  .333   .127
1AVX.A   0.35       10  4   19  139  .526   .028
1AY7.A   0.35       2   8   9   76   .222   .105
1AY7.B   0.35       5   5   9   58   .555   .086
1BGX.H   0.35       6   2   17  162  .352   .012
1DE4.E   0.35       11  3   21  66   .523   .045
1DFJ.E   0.35       0   5   18  85   0      .058
1DFJ.I   0.35       1   2   18  307  .055   .006
1DQJ.A   0.35       2   5   8   173  .250   .028
1E4K.C   0.35       10  7   12  129  .833   .054
1E6J.H   0.35       1   16  5   177  .200   .090
1EXB.E   0.35       3   2   3   73   1.000  .027
1F34.A   0.35       2   24  23  212  .086   .113
1FC2.D   0.35       8   23  10  164  .800   .140
1FFW.A   0.35       0   5   8   90   0      .055
1FFW.B   0.35       0   2   10  49   0      .040
1FLE.E   0.35       2   8   11  156  .181   .051
1GHQ.A   0.35       0   8   5   192  0      .041
1GXD.A   0.35       0   13  21  483  0      .026
1GXD.C   0.35       8   10  18  149  .444   .067
1IRA.X   0.35       3   2   23  90   .130   .022
1JIW.I   0.35       5   16  15  69   .333   .231
1JIW.P   0.35       7   26  20  312  .350   .083
1JPS.H   0.35       1   8   8   168  .125   .047
1KAC.A   0.35       1   15  9   134  .111   .111
1KAC.B   0.35       5   3   12  89   .416   .033
1KLU.D   0.35       1   8   11  154  .090   .051
Protein     Threshold  TP         FP  N   Neg  TPR    FPR
1ACB.E      0.35       3          0   13  159  .230   0
1ACB.I      0.35       3          0   11  44   .272   0
1AHW.A      0.35       5          3   9   163  .555   .018
1AK4.A      0.35       3          14  9   110  .333   .127
1AVX.A      0.35       10         4   19  139  .526   .028
1AY7.A      0.35       2          8   9   76   .222   .105
1AY7.B      0.35       5          5   9   58   .555   .086
1BGX.H      0.35       6          2   17  162  .352   .012
1DE4.E      0.35       11         3   21  66   .523   .045
1DFJ.E      0.35       0          5   18  85   0      .058
1DFJ.I      0.35       1          2   18  307  .055   .006
1DQJ.A      0.35       2          5   8   173  .250   .028
1E4K.C      0.35       10         7   12  129  .833   .054
1E6J.H      0.35       1          16  5   177  .200   .090
1EXB.E      0.35       3          2   3   73   1.000  .027
1F34.A      0.35       2          24  23  212  .086   .113
1FC2.D      0.35       8          23  10  164  .800   .140
1FFW.A      0.35       0          5   8   90   0      .055
1FFW.B      0.35       0          2   10  49   0      .040
1FLE.E      0.35       2          8   11  156  .181   .051
1GHQ.A      0.35       0          8   5   192  0      .041
1GXD.A      0.35       0          13  21  483  0      .026
1GXD.C      0.35       8          10  18  149  .444   .067
1IRA.X      0.35       3          2   23  90   .130   .022
1JIW.I      0.35       5          16  15  69   .333   .231
1JIW.P      0.35       7          26  20  312  .350   .083
1JPS.H      0.35       1          8   8   168  .125   .047
1KAC.A      0.35       1          15  9   134  .111   .111
1KAC.B      0.35       5          3   12  89   .416   .033
1KLU.D      0.35       1          8   11  154  .090   .051
Global_TPR  =          .280
Global_FPR  =          .055
avg_TPR     =          0.289419
avg_FPR     =          0.0579032
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.4        3   0   13  159  .230  0
1ACB.I   0.4        3   0   11  44   .272  0
1AHW.A   0.4        5   2   9   163  .555  .012
1AK4.A   0.4        3   14  9   110  .333  .127
1AVX.A   0.4        10  4   19  139  .526  .028
1AY7.A   0.4        0   5   9   76   0     .065
1AY7.B   0.4        4   5   9   58   .444  .086
1BGX.H   0.4        6   2   17  162  .352  .012
1DE4.E   0.4        7   3   21  66   .333  .045
1DFJ.E   0.4        0   3   18  85   0     .035
1DFJ.I   0.4        1   1   18  307  .055  .003
1DQJ.A   0.4        2   4   8   173  .250  .023
1E4K.C   0.4        10  7   12  129  .833  .054
1E6J.H   0.4        1   15  5   177  .200  .084
1EXB.E   0.4        1   2   3   73   .333  .027
1F34.A   0.4        1   16  23  212  .043  .075
1FC2.D   0.4        8   23  10  164  .800  .140
1FFW.A   0.4        0   5   8   90   0     .055
1FFW.B   0.4        0   2   10  49   0     .040
1FLE.E   0.4        0   7   11  156  0     .044
1GHQ.A   0.4        0   8   5   192  0     .041
1GXD.A   0.4        0   13  21  483  0     .026
1GXD.C   0.4        8   10  18  149  .444  .067
1IRA.X   0.4        3   1   23  90   .130  .011
1JIW.I   0.4        5   16  15  69   .333  .231
1JIW.P   0.4        7   26  20  312  .350  .083
1JPS.H   0.4        0   7   8   168  0     .041
1KAC.A   0.4        1   15  9   134  .111  .111
1KAC.B   0.4        5   2   12  89   .416  .022
1KLU.D   0.4        1   7   11  154  .090  .045
Protein     Threshold  TP         FP  N   Neg  TPR   FPR
1ACB.E      0.4        3          0   13  159  .230  0
1ACB.I      0.4        3          0   11  44   .272  0
1AHW.A      0.4        5          2   9   163  .555  .012
1AK4.A      0.4        3          14  9   110  .333  .127
1AVX.A      0.4        10         4   19  139  .526  .028
1AY7.A      0.4        0          5   9   76   0     .065
1AY7.B      0.4        4          5   9   58   .444  .086
1BGX.H      0.4        6          2   17  162  .352  .012
1DE4.E      0.4        7          3   21  66   .333  .045
1DFJ.E      0.4        0          3   18  85   0     .035
1DFJ.I      0.4        1          1   18  307  .055  .003
1DQJ.A      0.4        2          4   8   173  .250  .023
1E4K.C      0.4        10         7   12  129  .833  .054
1E6J.H      0.4        1          15  5   177  .200  .084
1EXB.E      0.4        1          2   3   73   .333  .027
1F34.A      0.4        1          16  23  212  .043  .075
1FC2.D      0.4        8          23  10  164  .800  .140
1FFW.A      0.4        0          5   8   90   0     .055
1FFW.B      0.4        0          2   10  49   0     .040
1FLE.E      0.4        0          7   11  156  0     .044
1GHQ.A      0.4        0          8   5   192  0     .041
1GXD.A      0.4        0          13  21  483  0     .026
1GXD.C      0.4        8          10  18  149  .444  .067
1IRA.X      0.4        3          1   23  90   .130  .011
1JIW.I      0.4        5          16  15  69   .333  .231
1JIW.P      0.4        7          26  20  312  .350  .083
1JPS.H      0.4        0          7   8   168  0     .041
1KAC.A      0.4        1          15  9   134  .111  .111
1KAC.B      0.4        5          2   12  89   .416  .022
1KLU.D      0.4        1          7   11  154  .090  .045
Global_TPR  =          .246
Global_FPR  =          .050
avg_TPR     =          0.239774
avg_FPR     =          0.0526774
Protein  Threshold  TP  FP  N   Neg  TPR   FPR
1ACB.E   0.45       3   0   13  159  .230  0
1ACB.I   0.45       2   0   11  44   .181  0
1AHW.A   0.45       5   1   9   163  .555  .006
1AK4.A   0.45       3   12  9   110  .333  .109
1AVX.A   0.45       7   1   19  139  .368  .007
1AY7.A   0.45       0   2   9   76   0     .026
1AY7.B   0.45       3   5   9   58   .333  .086
1BGX.H   0.45       6   1   17  162  .352  .006
1DE4.E   0.45       6   2   21  66   .285  .030
1DFJ.E   0.45       0   3   18  85   0     .035
1DFJ.I   0.45       1   1   18  307  .055  .003
