protein,meta-ppisp
1UEA.A,0.33333333333333337
1US7.A,0.23529411764705882
1US7.B,0
1VFB.A,0.5581395348837209
1VLT.A,0.3
1VOK.A,0.391304347826087
1WEJ.H,0.34782608695652173
1WGJ.A,0.3902439024390244
1WQ1.R,0.55
1XIK.A,0.08695652173913043
1XQS.A,0.2692307692307692
1XSO.A,0.43750000000000006
1YCS.A,0.46153846153846156
1YPI.A,0.4615384615384615
1YVE.I,0.26666666666666666
1ZBD.A,0.39999999999999997
1ZHH.A,0.4888888888888889
1ZHI.A,0
1ZHI.B,0.12121212121212122
2A5T.A,0.3
2A5T.B,0.17777777777777778
2AAI.A,0.5454545454545454
2AE2.A,0.125
2AJF.E,0
2B42.A,0.34615384615384615
2B42.B,0.2916666666666667
2B4J.C,0.4666666666666667
2BTF.A,0.3137254901960784
2BTF.P,0.09302325581395349
2C0L.A,0.19999999999999998
2CFH.C,0.4444444444444444
2FD6.H,0.44897959183673464
2HDH.A,0.2127659574468085
2HHM.A,0.588235294117647
2HLE.B,0.47368421052631576
2HQS.A,0.15686274509803924
2HRK.B,0.25
2J0T.A,0.40909090909090906
2J0T.D,0.4444444444444444
2NAC.A,0.49438202247191004
2O3B.A,0
2PCB.A,0.27027027027027023
2PFL.A,0.32786885245901637
2PTC.I,0.5714285714285715
2SIC.E,0.5652173913043479
2SIC.I,0.6285714285714286
2UTG.A,0.4571428571428571
2VDB.A,0
2VIS.A,0.0425531914893617
2VXT.H,0.41666666666666663
2W9E.H,0.3846153846153846
3AAA.C,0.5142857142857142
3BIW.A,0
3BX7.A,0.2325581395348837
3BX7.C,0.1
3C98.A,0.375
3DAW.A,0.490566037735849
3DAW.B,0.5853658536585366
3EO1.A,0.0851063829787234
3EOA.L,0.39130434782608703
3F1P.A,0.2702702702702703
3F1P.B,0.4761904761904762
3G6D.L,0.52
3HHR.A,0.375
3HI6.X,0.36
3HMX.L,0.47058823529411753
3L5W.L,0.3555555555555555
3MXW.L,0.4897959183673469
3R9A.B,0.3333333333333333
3RVW.C,0.4255319148936171
3S9D.B,0.05
3SZK.E,0
3SZK.F,0.2222222222222222
3TMK.A,0
3V6Z.A,0.5714285714285714
3VLB.A,0
3VLB.B,0.13333333333333333
4DN4.L,0.5
4FQI.H,0.43478260869565216
4G6J.H,0.44000000000000006
4G6M.H,0.5
4JCV.E,0
4M76.B,0
4MDH.A,0.3103448275862069
4SGB.I,0.39999999999999997
4XXH.A,0.5833333333333334
7CEI.A,0.4571428571428572
7CEI.B,0
