Protein,TP,Predicted_Residues,Annotated_Residues,Precision,Recall
3BX7.C,16,120,16,0.133333,1
1E4K.C,12,172,12,0.069767,1
2VDB.A,11,574,11,0.019164,1
1KXP.A,20,349,20,0.057307,1
1FLE.E,11,229,11,0.048035,1
3MXW.L,14,426,14,0.032864,1
2VXT.H,13,416,13,0.03125,1
4DN4.L,14,427,14,0.032787,1
2VIS.A,12,431,12,0.027842,1
1QA9.A,13,102,13,0.127451,1
1MQ8.B,12,177,12,0.067797,1
3DAW.B,16,140,16,0.114286,1
3HMX.L,16,431,16,0.037123,1
3F1P.B,18,111,18,0.162162,1
3AAA.C,11,117,11,0.094017,1
3F1P.A,13,114,13,0.114035,1
3BX7.A,16,173,16,0.092486,1
3DAW.A,20,372,20,0.053763,1
1QA9.B,15,95,15,0.157895,1
1MLC.A,13,432,13,0.030093,1
4G6J.H,16,430,16,0.037209,1
1T6B.X,12,676,12,0.017751,1
1JPS.H,16,426,16,0.037559,1
2J0T.A,18,161,18,0.111801,1
4FQI.H,11,413,11,0.026634,1
1AHW.A,20,428,20,0.046729,1
2HQS.A,17,412,17,0.041262,1
1FFW.A,8,128,8,0.0625,1
3HI6.X,15,426,15,0.035211,1
7CEI.B,10,126,10,0.079365,1
1GXD.A,21,624,21,0.033654,1
3V6Z.A,21,440,21,0.047727,1
1ACB.E,13,241,13,0.053942,1
1AY7.A,9,96,9,0.09375,1
1BGX.H,31,415,31,0.074699,1
1KXP.D,26,438,26,0.059361,1
3VLB.A,15,404,15,0.037129,1
1KTZ.A,7,82,7,0.085366,1
3BIW.A,9,533,9,0.016886,1
1EXB.E,3,91,3,0.032967,1
2O3B.A,15,241,15,0.062241,1
3VLB.B,17,218,17,0.077982,1
1DFJ.E,18,124,18,0.145161,1
1IRA.X,23,145,23,0.158621,1
1AY7.B,9,89,9,0.101124,1
2HRK.B,8,121,8,0.066116,1
2J0T.D,11,124,11,0.08871,1
7CEI.A,13,87,13,0.149425,1
1FFW.B,10,68,10,0.147059,1
1PVH.B,8,169,8,0.047337,1
3RVW.C,13,429,13,0.030303,1
1WEJ.H,11,437,11,0.025172,1
1S1Q.A,11,137,11,0.080292,1
1DOR.A,25,311,25,0.080386,1
1YVE.I,25,513,25,0.048733,1
1DOW.A,14,200,14,0.07,1
1NSE.A,39,416,39,0.09375,1
1EMV.A,13,83,13,0.156627,1
1CP2.A,13,269,13,0.048327,1
1RRP.A,32,204,32,0.156863,1
1XIK.A,37,340,37,0.108824,1
1KAC.A,9,185,9,0.048649,1
1BKD.R,25,166,25,0.150602,1
1TCO.A,21,352,21,0.059659,1
1JKM.A,16,358,16,0.044693,1
1I8L.A,8,199,8,0.040201,1
1QBI.A,17,434,17,0.039171,1
1QFH.A,37,212,37,0.174528,1
1D09.A,15,310,15,0.048387,1
1B6C.A,15,107,15,0.140187,1
1CMX.A,22,214,22,0.102804,1
1ETH.A,14,448,14,0.03125,1
3C98.A,27,556,27,0.048561,1
1BVN.T,15,71,15,0.211268,1
1REQ.A,64,727,64,0.088033,1
1STF.E,12,211,12,0.056872,1
4SGB.I,6,51,6,0.117647,1
1ONE.A,34,436,34,0.077982,1
2NAC.A,56,374,56,0.149733,1
1BJN.A,32,359,32,0.089136,1
1CNZ.A,43,363,43,0.118457,1
1SMP.I,12,100,12,0.12,1
1B3A.A,12,67,12,0.179104,1
1B34.A,17,80,17,0.2125,1
1AT3.A,15,217,15,0.069124,1
1ISA.A,9,192,9,0.046875,1
1MSP.A,12,124,12,0.096774,1
1TMQ.A,18,470,18,0.038298,1
1CMB.A,15,104,15,0.144231,1
1I2M.A,24,165,24,0.145455,1
1TRK.A,67,678,67,0.09882,1
3HHR.A,21,184,21,0.11413,1
1SPU.A,112,717,112,0.156206,1
1LFD.A,11,87,11,0.126437,1
1VOK.A,19,192,19,0.098958,1
1AVW.A,19,220,19,0.086364,1
1BRM.A,54,356,54,0.151685,1
1UEA.A,22,166,22,0.13253,1
1CSE.I,10,63,10,0.15873,1
1ITB.A,25,153,25,0.163399,1
1SMT.A,22,98,22,0.22449,1
1EG9.A,31,447,31,0.069351,1
1CVS.A,17,129,17,0.131783,1
1FRV.A,59,262,59,0.225191,1
1BI7.A,25,269,25,0.092937,1
1F34.A,22,325,22,0.067692,1
1TX4.A,17,196,17,0.086735,1
1B5E.A,36,241,36,0.149378,1
1F6Y.A,19,258,19,0.073643,1
4MDH.A,26,333,26,0.078078,1
1HGX.A,18,164,18,0.109756,1
2AE2.A,18,259,18,0.069498,1
1C0F.S,22,127,22,0.173228,1
1HLU.A,11,373,11,0.029491,1
1DHK.A,26,495,26,0.052525,1
1WGJ.A,11,282,11,0.039007,1
4XXH.A,19,255,19,0.07451,1
2AAI.A,25,267,25,0.093633,1
2PFL.A,23,759,23,0.030303,1
1QAE.A,13,240,13,0.054167,1
1WQ1.R,14,166,14,0.084337,1
1BML.A,26,250,26,0.104,1
1GUX.A,13,177,13,0.073446,1
1EUV.A,27,221,27,0.122172,1
1GPE.A,28,587,28,0.0477,1
1AK4.A,9,165,9,0.054545,1
1CC0.A,9,187,9,0.048128,1
1PDK.A,28,215,28,0.130233,1
1DCE.A,39,566,39,0.068905,1
2PTC.I,8,58,8,0.137931,1
1TGS.I,13,55,13,0.236364,1
1QFE.A,7,252,7,0.027778,1
1JTD.A,12,262,12,0.045802,1
1B9M.A,41,255,41,0.160784,1
2HHM.A,21,272,21,0.077206,1
1VLT.A,14,142,14,0.098592,1
1CLI.A,42,341,42,0.123167,1
1YCS.A,11,191,11,0.057592,1
1SOX.A,24,463,24,0.051836,1
1GLA.F,7,161,7,0.043478,1
1EFV.A,59,312,59,0.189103,1
1FIN.A,29,298,29,0.097315,1
1PP2.L,17,122,17,0.139344,1
1BYF.A,16,123,16,0.130081,1
1B8J.A,60,448,60,0.133929,1
1BUH.A,12,287,12,0.041812,1
1COZ.A,10,126,10,0.079365,1
1HJR.A,15,158,15,0.094937,1
1PNK.A,80,193,80,0.414508,1
1QAX.A,78,425,78,0.183529,1
1QOR.A,21,326,21,0.064417,1
1FSS.A,15,532,15,0.028195,1
1AVZ.B,11,103,11,0.106796,1
1LUC.A,30,326,30,0.092025,1
1AVA.A,17,403,17,0.042184,1
1H2A.L,55,534,55,0.102996,1
1CQI.A,18,286,18,0.062937,1
2HDH.A,16,286,16,0.055944,1
1YPI.A,23,247,23,0.093117,1
2UTG.A,14,70,14,0.2,1
3TMK.A,11,216,11,0.050926,1
1HSS.A,15,111,15,0.135135,1
2SIC.I,11,107,11,0.102804,1
1ZBD.A,19,171,19,0.111111,1
1BO1.A,18,326,18,0.055215,1
1XSO.A,7,149,7,0.04698,1
1B8A.A,56,438,56,0.127854,1
1B7B.A,28,307,28,0.091205,1
1KPE.A,33,113,33,0.292035,1
1QAV.A,13,90,13,0.144444,1
1EAI.C,10,61,10,0.163934,1
1F60.A,28,440,28,0.063636,1
2PCB.A,6,294,6,0.020408,1
1ATN.A,16,371,16,0.043127,1
